# single words - nimi pu
uFF91A	ijo+kili	# ijo kili, scaled
uFF91A	ijo*kili	# ijo kili, scaled
uFF91B	ijo-kin	# ijo kin, scaled
uFF91B	ijo+kin	# ijo kin, scaled
uFF91B	ijo*kin	# ijo kin, scaled
uFF91C	ijo-kipisi	# ijo kipisi, scaled
uFF91C	ijo+kipisi	# ijo kipisi, scaled
uFF91C	ijo*kipisi	# ijo kipisi, scaled
uFF91D	ijo-kiwen	# ijo kiwen, scaled
uFF91D	ijo+kiwen	# ijo kiwen, scaled
uFF91D	ijo*kiwen	# ijo kiwen, scaled
uFF91E	ijo-ko	#ijo ko, scaled
uFF91E	ijo+ko	#ijo ko, scaled
uFF91E	ijo*ko	#ijo ko, scaled
uFF91F	ijo-kon	# ijo kon, scaled
uFF91F	ijo+kon	# ijo kon, scaled
uFF91F	ijo*kon	# ijo kon, scaled
uFF920	ijo-kule	# ijo kule, scaled
uFF920	ijo+kule	# ijo kule, scaled
uFF920	ijo*kule	# ijo kule, scaled
uFF921	ijo-kulupu	# ijo kulupu, scaled
uFF921	ijo+kulupu	# ijo kulupu, scaled
uFF921	ijo*kulupu	# ijo kulupu, scaled
uFF922	ijo-kute	# ijo kute, scaled
uFF922	ijo+kute	# ijo kute, scaled
uFF922	ijo*kute	# ijo kute, scaled
uFF923	ijo-lape	# ijo lape, scaled
uFF923	ijo+lape	# ijo lape, scaled
uFF923	ijo*lape	# ijo lape, scaled
uFF924	ijo-laso	# ijo laso, scaled
uFF924	ijo+laso	# ijo laso, scaled
uFF924	ijo*laso	# ijo laso, scaled
uFF925	ijo-lawa	# ijo lawa, scaled
uFF925	ijo+lawa	# ijo lawa, scaled
uFF925	ijo*lawa	# ijo lawa, scaled
uFF926	ijo-leko	# ijo leko, scaled
uFF926	ijo+leko	# ijo leko, scaled
uFF926	ijo*leko	# ijo leko, scaled
uFF927	ijo-len	# ijo len, scaled
uFF927	ijo+len	# ijo len, scaled
uFF927	ijo*len	# ijo len, scaled
uFF928	ijo-lete	# ijo lete, scaled
uFF928	ijo+lete	# ijo lete, scaled
